pco_id;sro;localisation;lat;lon;geom;address
RESIDENTIEL2_PCO34;RESIDENTIEL 2;RESIDENTIEL 2;5.307137;-3.98983;5.301675,-3.988234;Ganamet freres, Avenue de la T.S.F., Zone 4a, Zone 4, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO35;RESIDENTIEL 2;RESIDENTIEL 2;5.307377;-3.98924;5.307137,-3.989832;Rue F21, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO36;RESIDENTIEL 2;RESIDENTIEL 2;5.31007;-3.98696;5.307377,-3.989244;Rue F128, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO37;RESIDENTIEL 2;RESIDENTIEL 2;5.310594;-3.98716;5.31007,-3.986962;Rue du Taureau, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO38;RESIDENTIEL 2;RESIDENTIEL 2;5.309174;-3.98622;5.310594,-3.987158;Rue F27, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO39;RESIDENTIEL 2;RESIDENTIEL 2;5.308541;-3.987;5.309174,-3.986223;Rue F202, Cité Hibiscus, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO40;RESIDENTIEL 2;RESIDENTIEL 2;5.302466;-4.00774;5.308541,-3.987;Rue F196, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
ARRAS2_PCO09;ARRAS 2;ARRAS 2;5.302127;-4.00866;5.302466,-4.007743;Avenue Ouézzin Coulibaly, Quartier France-Amérique, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO10;ARRAS 2;ARRAS 2;5.302748;-4.00697;5.302127,-4.008656;Avenue Ouézzin Coulibaly, Quartier France-Amérique, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO11;ARRAS 2;ARRAS 2;5.302024;-4.00623;5.302748,-4.00697;Avenue 21 Rue 21, Avenue Ouézzin Coulibaly, Quartier France-Amérique, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO12;ARRAS 2;ARRAS 2;5.308282;-4.01606;5.302024,-4.006227;Rue 21, Arras, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO13;ARRAS 2;ARRAS 2;5.307463;-4.01572;5.308282,-4.016057;Avenue 3, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO14;ARRAS 2;ARRAS 2;5.308168;-4.0093;5.307463,-4.015722;Avenue 5, Quartier France-Amérique, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO17;ARRAS 2;ARRAS 2;5.307717;-4.01055;5.308168,-4.009304;Rue B37, Nanan Yamousso, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO18;ARRAS 2;ARRAS 2;5.308785;-4.00762;5.307717,-4.01055;Avenue 8, Nanan Yamousso, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO19;ARRAS 2;ARRAS 2;5.309313;-4.00783;5.308785,-4.00762;Rue 23, Nanan Yamousso, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO20;ARRAS 2;ARRAS 2;5.310128;-4.00813;5.309313,-4.007833;Rue 23, Nanan Yamousso, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO21;ARRAS 2;ARRAS 2;5.309542;-4.00981;5.310128,-4.008134;Avenue 5, Nanan Yamousso, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
ARRAS2_PCO22;ARRAS 2;ARRAS 2;5.309254;-4.01067;5.309542,-4.00981;Rue B37, Nanan Yamousso, Zone 2b, Treichville, Abidjan, Côte d’Ivoire
